timestamp,plant_name,plant_type,capacity_mw,generation_mw,capacity_factor,latitude,longitude
2020-01-01 00:00:00,Dharwad_Wind_Farm,wind,80,2.507,0.0313,15.5,75.0
2020-01-01 01:00:00,Dharwad_Wind_Farm,wind,80,3.118,0.039,15.5,75.0
2020-01-01 02:00:00,Dharwad_Wind_Farm,wind,80,2.341,0.0293,15.5,75.0
2020-01-01 03:00:00,Dharwad_Wind_Farm,wind,80,3.191,0.0399,15.5,75.0
2020-01-01 04:00:00,Dharwad_Wind_Farm,wind,80,2.806,0.0351,15.5,75.0
2020-01-01 05:00:00,Dharwad_Wind_Farm,wind,80,0.595,0.0074,15.5,75.0
2020-01-01 06:00:00,Dharwad_Wind_Farm,wind,80,6.366,0.0796,15.5,75.0
2020-01-01 07:00:00,Dharwad_Wind_Farm,wind,80,1.671,0.0209,15.5,75.0
2020-01-01 08:00:00,Dharwad_Wind_Farm,wind,80,0.0,0.0,15.5,75.0
2020-01-01 09:00:00,Dharwad_Wind_Farm,wind,80,3.758,0.047,15.5,75.0
2020-01-01 10:00:00,Dharwad_Wind_Farm,wind,80,4.75,0.0594,15.5,75.0
2020-01-01 11:00:00,Dharwad_Wind_Farm,wind,80,5.688,0.0711,15.5,75.0
2020-01-01 12:00:00,Dharwad_Wind_Farm,wind,80,12.612,0.1576,15.5,75.0
2020-01-01 13:00:00,Dharwad_Wind_Farm,wind,80,6.126,0.0766,15.5,75.0
2020-01-01 14:00:00,Dharwad_Wind_Farm,wind,80,1.523,0.019,15.5,75.0
2020-01-01 15:00:00,Dharwad_Wind_Farm,wind,80,1.064,0.0133,15.5,75.0
2020-01-01 16:00:00,Dharwad_Wind_Farm,wind,80,3.667,0.0458,15.5,75.0
2020-01-01 17:00:00,Dharwad_Wind_Farm,wind,80,4.51,0.0564,15.5,75.0
2020-01-01 18:00:00,Dharwad_Wind_Farm,wind,80,2.281,0.0285,15.5,75.0
2020-01-01 19:00:00,Dharwad_Wind_Farm,wind,80,1.56,0.0195,15.5,75.0
2020-01-01 20:00:00,Dharwad_Wind_Farm,wind,80,6.551,0.0819,15.5,75.0
2020-01-01 21:00:00,Dharwad_Wind_Farm,wind,80,7.888,0.0986,15.5,75.0
2020-01-01 22:00:00,Dharwad_Wind_Farm,wind,80,3.906,0.0488,15.5,75.0
2020-01-01 23:00:00,Dharwad_Wind_Farm,wind,80,7.748,0.0969,15.5,75.0
2020-01-02 00:00:00,Dharwad_Wind_Farm,wind,80,4.027,0.0503,15.5,75.0
2020-01-02 01:00:00,Dharwad_Wind_Farm,wind,80,0.882,0.011,15.5,75.0
2020-01-02 02:00:00,Dharwad_Wind_Farm,wind,80,1.518,0.019,15.5,75.0
2020-01-02 03:00:00,Dharwad_Wind_Farm,wind,80,2.408,0.0301,15.5,75.0
2020-01-02 04:00:00,Dharwad_Wind_Farm,wind,80,13.339,0.1667,15.5,75.0
2020-01-02 05:00:00,Dharwad_Wind_Farm,wind,80,1.448,0.0181,15.5,75.0
2020-01-02 06:00:00,Dharwad_Wind_Farm,wind,80,3.641,0.0455,15.5,75.0
2020-01-02 07:00:00,Dharwad_Wind_Farm,wind,80,7.09,0.0886,15.5,75.0
2020-01-02 08:00:00,Dharwad_Wind_Farm,wind,80,4.154,0.0519,15.5,75.0
2020-01-02 09:00:00,Dharwad_Wind_Farm,wind,80,2.649,0.0331,15.5,75.0
2020-01-02 10:00:00,Dharwad_Wind_Farm,wind,80,2.073,0.0259,15.5,75.0
2020-01-02 11:00:00,Dharwad_Wind_Farm,wind,80,4.36,0.0545,15.5,75.0
2020-01-02 12:00:00,Dharwad_Wind_Farm,wind,80,9.331,0.1166,15.5,75.0
2020-01-02 13:00:00,Dharwad_Wind_Farm,wind,80,2.07,0.0259,15.5,75.0
2020-01-02 14:00:00,Dharwad_Wind_Farm,wind,80,1.235,0.0154,15.5,75.0
2020-01-02 15:00:00,Dharwad_Wind_Farm,wind,80,1.383,0.0173,15.5,75.0
2020-01-02 16:00:00,Dharwad_Wind_Farm,wind,80,2.268,0.0283,15.5,75.0
2020-01-02 17:00:00,Dharwad_Wind_Farm,wind,80,3.877,0.0485,15.5,75.0
2020-01-02 18:00:00,Dharwad_Wind_Farm,wind,80,20.476,0.2559,15.5,75.0
2020-01-02 19:00:00,Dharwad_Wind_Farm,wind,80,2.898,0.0362,15.5,75.0
2020-01-02 20:00:00,Dharwad_Wind_Farm,wind,80,8.71,0.1089,15.5,75.0
2020-01-02 21:00:00,Dharwad_Wind_Farm,wind,80,0.956,0.012,15.5,75.0
2020-01-02 22:00:00,Dharwad_Wind_Farm,wind,80,1.303,0.0163,15.5,75.0
2020-01-02 23:00:00,Dharwad_Wind_Farm,wind,80,3.706,0.0463,15.5,75.0
2020-01-03 00:00:00,Dharwad_Wind_Farm,wind,80,1.697,0.0212,15.5,75.0
2020-01-03 01:00:00,Dharwad_Wind_Farm,wind,80,5.035,0.0629,15.5,75.0
2020-01-03 02:00:00,Dharwad_Wind_Farm,wind,80,8.523,0.1065,15.5,75.0
2020-01-03 03:00:00,Dharwad_Wind_Farm,wind,80,9.487,0.1186,15.5,75.0
2020-01-03 04:00:00,Dharwad_Wind_Farm,wind,80,4.7,0.0588,15.5,75.0
2020-01-03 05:00:00,Dharwad_Wind_Farm,wind,80,3.062,0.0383,15.5,75.0
2020-01-03 06:00:00,Dharwad_Wind_Farm,wind,80,3.283,0.041,15.5,75.0
2020-01-03 07:00:00,Dharwad_Wind_Farm,wind,80,19.023,0.2378,15.5,75.0
2020-01-03 08:00:00,Dharwad_Wind_Farm,wind,80,1.251,0.0156,15.5,75.0
2020-01-03 09:00:00,Dharwad_Wind_Farm,wind,80,5.409,0.0676,15.5,75.0
2020-01-03 10:00:00,Dharwad_Wind_Farm,wind,80,6.095,0.0762,15.5,75.0
2020-01-03 11:00:00,Dharwad_Wind_Farm,wind,80,0.411,0.0051,15.5,75.0
2020-01-03 12:00:00,Dharwad_Wind_Farm,wind,80,6.412,0.0802,15.5,75.0
2020-01-03 13:00:00,Dharwad_Wind_Farm,wind,80,2.371,0.0296,15.5,75.0
2020-01-03 14:00:00,Dharwad_Wind_Farm,wind,80,0.996,0.0124,15.5,75.0
2020-01-03 15:00:00,Dharwad_Wind_Farm,wind,80,8.9,0.1113,15.5,75.0
2020-01-03 16:00:00,Dharwad_Wind_Farm,wind,80,8.982,0.1123,15.5,75.0
2020-01-03 17:00:00,Dharwad_Wind_Farm,wind,80,0.094,0.0012,15.5,75.0
2020-01-03 18:00:00,Dharwad_Wind_Farm,wind,80,0.0,0.0,15.5,75.0
2020-01-03 19:00:00,Dharwad_Wind_Farm,wind,80,9.773,0.1222,15.5,75.0
2020-01-03 20:00:00,Dharwad_Wind_Farm,wind,80,0.645,0.0081,15.5,75.0
2020-01-03 21:00:00,Dharwad_Wind_Farm,wind,80,0.333,0.0042,15.5,75.0
2020-01-03 22:00:00,Dharwad_Wind_Farm,wind,80,1.1,0.0138,15.5,75.0
2020-01-03 23:00:00,Dharwad_Wind_Farm,wind,80,5.198,0.065,15.5,75.0
2020-01-04 00:00:00,Dharwad_Wind_Farm,wind,80,1.259,0.0157,15.5,75.0
2020-01-04 01:00:00,Dharwad_Wind_Farm,wind,80,4.726,0.0591,15.5,75.0
2020-01-04 02:00:00,Dharwad_Wind_Farm,wind,80,4.257,0.0532,15.5,75.0
2020-01-04 03:00:00,Dharwad_Wind_Farm,wind,80,3.24,0.0405,15.5,75.0
2020-01-04 04:00:00,Dharwad_Wind_Farm,wind,80,13.79,0.1724,15.5,75.0
2020-01-04 05:00:00,Dharwad_Wind_Farm,wind,80,0.203,0.0025,15.5,75.0
2020-01-04 06:00:00,Dharwad_Wind_Farm,wind,80,3.454,0.0432,15.5,75.0
2020-01-04 07:00:00,Dharwad_Wind_Farm,wind,80,0.517,0.0065,15.5,75.0
2020-01-04 08:00:00,Dharwad_Wind_Farm,wind,80,5.534,0.0692,15.5,75.0
2020-01-04 09:00:00,Dharwad_Wind_Farm,wind,80,9.251,0.1156,15.5,75.0
2020-01-04 10:00:00,Dharwad_Wind_Farm,wind,80,1.108,0.0139,15.5,75.0
2020-01-04 11:00:00,Dharwad_Wind_Farm,wind,80,3.233,0.0404,15.5,75.0
2020-01-04 12:00:00,Dharwad_Wind_Farm,wind,80,2.692,0.0337,15.5,75.0
2020-01-04 13:00:00,Dharwad_Wind_Farm,wind,80,10.465,0.1308,15.5,75.0
2020-01-04 14:00:00,Dharwad_Wind_Farm,wind,80,4.965,0.0621,15.5,75.0
2020-01-04 15:00:00,Dharwad_Wind_Farm,wind,80,9.638,0.1205,15.5,75.0
